term,estimate,std.error,statistic,p.value
(Intercept),3.4381540296758075,0.036139308287743185,95.13613272011278,2.160812586733121e-65
PHD2,-0.007061874455815551,0.04124374619909435,-0.1712229151475726,0.8646444549455595
HIF1A,0.09608895428922838,0.036569015538603825,2.6276057168613893,0.010984292948249463
LIMD1,-0.0169077130239872,0.04120475808685001,-0.4103339956116157,0.6830728313090422
