Gene,Coef_Mean,Coef_SD,R2,R2_SD,Beta,pval
HIF1A,0.12361705744474791,0.10333366609337259,74.5916540412895,62.352471668402885,0.09608895428922838,0.010984292948249463
LIMD1,0.020132234577770493,0.023595237978170903,12.147973004246147,14.237580675921487,-0.0169077130239872,1
PHD2,0.021975759973675225,0.027528013394492224,13.260372954464339,16.61065304425096,-0.007061874455815551,1
