Cell Line Name,VEGFA,SLC2A1,PGAM1,ENO1,LDHA,TPI1,P4HA1,MRPS17,CDKN3,ADM,NDRG1,TUBB6,ALDOA,MIF,ACOT7,MCTS1,PSRC1,PSMA7,ANLN,TUBA1B,MAD2L2,GPI,TUBA1C,MAP7D1,DDIT4,BNIP3,GAPDH,MRPL13,CHCHD2,YKT6,CORO1C,SEC61G,ANKRD37,ESRP1,PFKP,SHCBP1,KIF20A,SLC25A32,SLC16A1,MRPL15,KIF4A,LRRC42,PGK1,HK2,CA9,HILPDA,PNP,MRGBP,CTSV,UTP11,AK4,BuffaScore,Hypoxia
EFM19,0.8454298328511517,4.279842693520348,6.12474169241965,6.795953055349871,3.3731261577589233,5.756786097654967,1.8347689940958833,3.111865963867557,2.380175311742025,1.9025560053446273,0.33151414371656035,0.7055040323923729,5.513642802142419,6.789685785577568,1.2061885454290842,2.8365012677171206,0.9148588609510228,6.989082225117281,2.0002774146803834,6.818837781864906,1.918386234446348,3.5500314839559715,4.788975658770727,2.21340710612195,4.663724126152671,3.6005076453457856,8.222688658651876,3.3637718245944614,7.887616654779764,3.3850365348555713,1.6449491866171042,5.018557876727371,0.47508488294878265,2.418312631311705,0.025028794491522444,1.4698859762744636,1.9687490660155604,1.7520349158838544,1.2410774581750368,4.58476211249375,2.947977787651718,2.9350825233186617,5.744122643697625,3.19377174339668,2.3151797596386605,3.378164779871631,3.032762073813794,6.672990993827748,1.2590213433271706,3.4662355621504046,2.293885430302371,3.032762073813794,CNTR
NCIH522,1.1380280447667612,2.559083868895551,6.686173666039418,7.921721947009605,4.744071372939647,5.938102790039336,2.8292696984860446,4.7379571062135915,2.285698125958125,5.982965062652869,0.055658427314541646,4.735947619854204,4.43253880729379,7.07845328377213,4.2729054261011035,3.41973149481704,1.6787653418195179,6.0304464394374415,2.4770794844567217,7.206306225009925,3.6622054996536164,3.593283459064651,5.058364603867029,3.531357465388853,3.261029269943417,4.533874777258546,7.739956084813886,4.4359142856681055,8.291124642879108,4.3307632555570095,2.097078469565138,5.9785225267987885,0.6825732973475784,0.22426483566921854,2.1229487534640117,2.1496310025549725,2.773694978887437,1.1462207408510439,4.388103413821378,3.7387678368001915,4.245901256030601,3.631569968309523,5.965817260171875,3.189033824390017,0.04264433740849372,3.2391688786654482,2.7567564513072744,5.981396031972149,4.132576842670009,4.015426203609608,1.7295527704539713,3.7387678368001915,CASE
SKHEP1,0.9536749844494872,3.492707773511596,7.480049649715792,8.514898118318488,6.084808387804362,6.927396089450965,1.9314129147425874,3.835924074254375,3.0499792027077914,3.19021976366016,0.433671673417895,5.290466533113529,5.505267565117942,7.7225343322782525,2.6721167110919595,3.6239337322339886,1.7458165117484716,6.184677020680892,3.2589827019525814,7.9769077517786515,2.8823169797388264,4.080607506200196,6.339275977094341,2.9767866100942246,4.439623137557117,6.392489161966022,9.39400816335993,3.0925457415435655,8.220450883877781,3.7293196955121535,3.4105696232128926,6.022114130059472,0.987927167699425,0.016950068929937386,4.719137796408674,1.1799659438716494,2.8070604644505224,1.814892172851275,2.5990201773916755,4.964244588634527,3.6147098441152083,2.8773516264492622,6.650703023382329,3.591360271919307,0.47854044158500186,2.2637856138908026,3.086613947409496,5.122258567811998,1.6229303509201767,3.5808690629928686,1.2141248053528473,3.5808690629928686,CNTR
SNU1105,3.5751186673485473,5.89388799637773,8.16678238360654,9.429685698355549,6.885238786495926,7.554324503901141,4.586936268149172,3.446917864866026,3.067466629436632,3.036942844798256,2.7311832415722,5.203313040844248,6.680042992622571,8.04483123344781,3.743867437115506,3.3049281865405993,2.482252579375098,6.297497143545933,4.138575058224566,8.765895209337101,3.4154882710497003,4.382992678797486,5.173438402220947,4.598585089243224,5.1036375102779665,7.418063419796863,9.619306624057026,3.0151203102504383,8.591466245867245,4.870716983055034,3.5899526722162687,7.123663240689956,1.5647846187835257,0.02212566207129281,4.277798821010329,3.119830435768762,3.8609627978581167,2.1683211157397224,3.395748328179034,4.230612928141416,3.9797205162424825,3.1361913862871442,7.742593351127593,4.171260212126132,5.022959566539987,3.4137971501892115,1.6701605141266334,5.4276061727819,0.7963208717826274,3.8379432418910273,2.7398481026993275,4.171260212126132,CASE
HLF,1.631150857725145,4.7099338960471595,8.565660637605978,9.359625121593565,7.550554413219362,7.589047686900391,3.5342750872723063,3.767125077269071,3.138978253319883,4.3269687115878925,0.747888621350998,6.294870146858547,6.940188506487204,8.051118288048425,3.365081678697504,3.9385546504463083,2.0099534740294236,6.868040561608993,3.903928181752657,8.529747756003307,2.7544124626330357,4.3157196532029,6.791394453823958,3.6078082873577038,4.131479736122165,8.268542000300123,9.336952800160514,3.0971291758438193,8.293632577954385,4.251827277154088,3.7319263537201572,6.773770321344613,2.023255352300303,0.01565326431148558,5.417515002885087,3.2461908956703796,3.6471500154997667,1.9915596371993471,2.889230152392887,5.238022517825721,4.5410191531335595,4.041067717086688,7.600454547890032,3.933572638261024,0.7935491225325737,2.761285273361619,3.7050102529818254,5.865423978313134,2.6499985941183475,4.072105800480419,3.9627803538048014,4.041067717086688,CASE
U937,2.8482373356932267,2.2710271965873243,6.668128582222042,8.59710280123173,4.524607008649532,5.805808348701468,2.44927837300232,3.2794712956444676,3.4368281188445526,0.18428029441938237,2.18152665453899,2.401123320154101,5.760230804947524,7.1076181317897245,2.7816458395377395,3.444174828066177,1.9924895682879382,5.9638979304553414,1.8177806624584956,7.8053488903946455,3.5089919852375266,5.6121963619868005,4.743024196410483,2.0698607713583237,4.109917692078035,3.9611602581366396,8.090710550847936,3.6967887302278615,8.486975765433304,2.9432515827779886,1.6832827613603463,5.480495949568257,0.846660458992136,0.013056152825446284,2.953730849811491,1.8825033142616412,2.4687694832166334,2.0588936890535683,2.7341676611507615,4.736063627871814,3.6170633438881805,2.4499574836280034,6.617735067816455,3.880359012859394,0.0,2.4229057426121834,4.034193701390649,5.146899560343589,1.4041765066470768,3.9849538513853373,1.0678107837896216,3.4368281188445526,CNTR
SKMEL3,0.594166328050996,1.7718855785153655,6.5453506448223,8.39313300190094,5.125000105617942,6.979275924130427,2.584962500721156,4.1346316714476465,2.6028844087184186,0.12432813500220177,0.11946685135532101,3.0082205068049683,6.3668208374658395,7.309248960816616,4.070389327891398,3.0095007403088827,2.0830169362191473,7.550849373383065,3.402533286100305,8.075425665826002,2.9947808387404873,4.495206056061077,5.111170454505927,2.9473064990670044,3.845991770664573,3.5397791916984938,8.569183459615111,3.1351595832816357,9.445242512917403,5.005849075696688,2.901311525393444,6.446279864935819,1.924733341212231,1.8800621192644356,3.8518323114539372,2.8579809951275723,2.4828482830684653,2.2873737873834856,3.2406959442125096,4.78432948095888,2.8797057662822882,2.7548875021634687,6.621444902021922,3.450661409009565,0.009586048829197932,2.9523335663696857,0.08065766334522519,6.247357916131104,3.013164459198448,3.907467558240039,1.2226500224514774,3.2406959442125096,CNTR
LU65,1.809661389440773,3.207372304985536,8.574530457323354,8.6238753949645,6.172944152651993,6.587364990936461,2.251827277154088,4.817111572795697,3.016496319896196,0.7527485914071338,1.0745054363636297,0.867331697870395,5.597211113664331,7.682760550906266,3.2419788175955166,4.165797115819636,1.7487914825284006,5.900504579655402,3.441258730494593,7.538751541317808,2.797704752023885,5.028361136185901,5.877144365404655,2.126871225808575,6.290080302281433,3.5680321047712793,8.901409979999464,3.2145689164971545,9.392714538628512,4.595401357425804,2.066769012212701,7.257091460328346,0.7498917686104764,0.018245708928009766,2.832721268034262,2.7001226074593254,3.409875794163065,2.038553240769393,2.579843886211581,4.729915256647056,3.675439592304637,2.5395310714741504,6.312727400263353,3.4360729787902073,0.7655347463629772,1.7538184431735429,3.74819284958946,5.139960569545456,0.6415460290875237,3.687732594759344,1.2517190926059598,3.4360729787902073,CNTR
NCIH460,0.7827440363952001,4.760309670370531,7.9950887410337765,8.928335775310282,6.150195775305178,6.6750631552402995,2.899728069714102,2.587364990936461,4.0071057787734405,1.456806149230474,0.30645668612492255,3.4574629646485517,6.340179799443585,7.335271241827205,2.785645656722374,3.9569859246125763,1.6887828982148025,6.55530490552906,2.6466943956150057,8.605016447911364,2.3806678882619874,4.919424215230876,6.422382526002235,1.991094446778108,5.340680945869395,6.042972583219524,9.225829216587172,2.9771490608719624,6.95303237725324,3.594548549550354,2.1390558289230697,4.732346736654661,0.5343936763185192,0.009151698369530266,3.978882028096418,2.950735012144208,3.1588909511673355,1.707082991771706,2.724104519866845,4.691720259087906,3.6919063292552994,2.1130336652998913,6.925338257839431,3.033863451866284,0.0,2.6865005271832185,4.412358137208984,5.857980995127572,0.9335726382610241,3.4531224465958124,1.3540289380543864,3.4574629646485517,CNTR
HUH7,1.4792305612063361,2.8155754288625725,7.3837330884948695,7.881001763697075,5.441657763720118,7.081675755024395,3.115794258414705,3.8509993947164736,3.528196219408345,1.9736112755194717,1.6207427916824126,4.855242251454154,5.623418192889079,6.539158811108031,2.504967013565887,2.125273234964523,1.3232591991253149,6.244316259891207,2.438292851579147,7.478102206027686,2.6728024678502313,3.4662816333008624,6.0767681001359515,1.8136825420296154,3.4019034716079584,5.8370602037585995,8.674033333377169,3.7336642310759554,8.784356748283168,3.3122087623597594,2.857562002881575,6.9430505990017375,0.524398058683074,0.029854403988579328,0.10768786931437331,1.9781956296816516,2.944055238006767,1.8135246892978105,3.1313425391232608,4.159467729266766,3.099856236832067,2.8925853151926533,5.032100843167024,3.586964853632304,0.19324607567693142,2.4646682670034443,3.473299871141316,5.15623479785027,4.153805336079036,3.062467143500706,2.511594541537413,3.3122087623597594,CNTR
TUHR4TKB,4.1557816087742845,7.064185874882645,7.797899253763606,8.653704957155936,6.330715245152855,7.791430632539981,4.550988588287182,3.718087583960517,1.4441369565875917,4.663558104217273,4.442191550782571,4.88456303578638,6.137814677570707,7.736762700909814,2.74318200151119,3.384247206404264,0.9787588524258296,6.699907857520685,3.3359537169087634,7.974385907710458,2.441837558622559,3.436647861806319,6.128137566276704,3.208253120101412,7.309339922327373,7.079591448648193,9.78813102241602,3.0069391362252285,8.459820929823191,4.464668267003445,3.7224084995985427,7.344765103844245,2.0987339535853597,0.02728275439340474,5.632704448443689,1.5972757621600078,2.2474935549380155,1.7591558338002722,3.158660175346498,4.0,2.83255250216393,2.9934932210584155,8.16880819812745,3.5202126915443226,6.465920063212904,3.9136075118230993,1.908332569782425,5.9595383411126495,2.0908534304511135,3.9822178463155833,3.6950194423568394,4.0,CASE
